station_id,station_name,Latitude,Longitude,Elevation,Country
42475,ALLAHABAD/BAMHRAULI,25.45,81.733,98,Null
42706,BANKURA,23.3833,87.0833,100,Null
43284,MANGALORE/BAJPE,12.917,74.883,102,Null
48955,PAKSE,15.117,105.783,102,Null
42314,DIBRUGARH /MOHANBARI,27.4833,95.0167,110,Null
57083,ZHENGZHOU,34.7167,113.65,111,Null
41360,HODEIDAH (CIV/MIL),14.75,42.967,115,Null
57297,XINYANG,32.133,114.05,115,Null
37395,KUTAISI,42.267,42.633,116,Null
42591,GAYA,24.75,84.95,116,Null
48379,PHETCHABUN,16.433,101.15,116,Null
37260,SUKHUMI (AGMS),43.017,41.033,118,Null
59265,WUZHOU,23.4833,111.3,120,Null
41675,MULTAN,30.2,71.4333,122,Null
42369,LUCKNOW/AMAUSI,26.75,80.8833,122,Null
48407,UBON RATCHATHANI,15.25,104.8667,122,Null
42273,BAHRAICH,27.5667,81.6,123,Null
42397,SILIGURI,26.6667,88.3667,123,Null
54727,ZHANGQIU,36.7,117.55,123,Null
59431,NANNING,22.6333,108.2167,126,Null
59417,LONGZHOU,22.367,106.75,129,Null
38064,KYZYLORDA,44.7667,65.5167,133.4,Null
57993,GANZHOU,25.8667,115,134,Null
42539,DEESA,24.2,72.2,135,Null
56989,HEKOU,22.5,103.95,138,Null
59134,XIAMEN,24.4833,118.0833,139,Null
37099,SOCHI,43.5833,39.7667,141.9,Null
42798,JAMSHEDPUR,22.8167,86.1833,142,Null
48008,MYITKYINA,25.3667,97.4,145,Null
48947,SAVANNAKHET,16.55,104.65,145,Null
37409,SAKARA,42.133,43.033,148,Null
48357,NAKHON PHANOM,17.417,104.783,148,Null
05466,SAMBALPUR,21.47,83.98,153,Null
41678,BAHAWALNAGAR,29.95,73.25,162,Null
57957,GUILIN,25.3333,110.3,166,Null
42189,BAREILLY,28.3667,79.4,167,Null
42260,AGRA,27.15,77.9667,168,Null
48940,VIENTIANE,17.95,102.567,171,Null
41624,DERA ISMAIL KHAN,31.8167,70.9167,172,Null
42123,GANGANAGAR,29.9167,73.8833,172,Null
48354,UDON THANI,17.3769,102.8094,177,Null
59211,BAISE,23.9,106.6,177,Null
57178,NANYANG,33.1,112.4833,181.6,Null
53798,XINGTAI,37.1808,114.3589,184,Null
48431,NAKHON RATCHASIMA,14.9681,102.0858,186.6,Null
48381,KHON KAEN,16.4608,102.7894,187,Null
41594,SARGODHA,32.05,72.667,188,Null
38687,CHARDZHEV,39.083,63.6,190,Null
42435,BARMER,25.75,71.3833,193,Null
42361,GWALIOR,26.2333,78.25,205,Null
38880,ASHGABAT KESHI,37.987,58.361,211,Null
42182,NEW DELHI/SAFDARJUNG,28.5833,77.2,211,Null
41640,LAHORE CITY,31.55,74.3333,214,Null
59096,LIANPING,24.367,114.483,214,Null
05462,NEW DEHLI,28.63,77.2,216,Null
05548,LAHORE,31.62,74.4,217,Null
42339,JODHPUR,26.3,73.0167,217,Null
58725,SHAOWU,27.3333,117.4667,219,Null
48053,MEIKTILA,20.883,95.9,220,Null
40608,MOSUL,36.317,43.15,223,Null
42165,BIKANER,28,73.3,223,Null
63671,WAJIR,1.75,40.067,224,Null
42886,JHARSIGUDA,21.9167,84.0833,228,Null
42071,AMRITSAR,31.6333,74.8667,229,Null
42328,JAISALMER,26.9,70.9167,231,Null
63624,MANDERA,3.933,41.867,231,Null
41598,JHELUM,32.9333,73.7167,232,Null
38413,TAMDY,41.733,64.617,237,Null
40039,RAQQA,35.933,39.017,245,Null
42101,PATIALA,30.3333,76.4667,251,Null
41600,SIALKOT,32.5,74.5333,255,Null
57461,YICHANG,30.7333,111.3667,257.7,Null
57749,HUAIHUA,27.5667,110,261,Null
59023,HECHI,24.7,108.0333,261,Null
42103,AMBALA,30.3833,76.7667,273,Null
42452,KOTA AERODROME,25.15,75.85,273,Null
57932,RONGJIANG,25.967,108.533,287,Null
42170,CHURU,28.25,74.9167,290,Null
57245,ANKANG,32.43,109.02,291.2,Null
63478,GODE,5.9,43.583,295,Null
42874,PBO RAIPUR,21.2333,81.65,296,Null
54836,YIYUAN,36.183,118.15,302,Null
40030,HAMA,35.117,36.75,303,Null
48930,LUANG-PRABANG,19.883,102.133,305,Null
38927,TERMEZ,37.233,67.267,310,Null
42867,NAGPUR SONEGAON,21.1,79.05,310,Null
57411,NANCHONG,30.8,106.083,310,Null
37735,GANDJA,40.717,46.417,311,Null
58911,CHANGTING,25.85,116.367,311,Null
37055,MINERAL'NYE VODY,44.2167,43.1,312.6,Null
48327,CHIANG MAI,18.7706,98.9683,313.2,Null
42056,JAMMU,32.6667,74.8333,318,Null
51334,JINGHE,44.617,82.9,321,Null
41529,PESHAWAR,34.0333,71.9333,329,Null
56492,YIBIN,28.817,104.533,342,Null
57328,DA XIAN,31.217,107.5,342,Null
43237,ANANTAPUR,14.6833,77.6167,349,Null
40373,AL-QAISUMAH,28.3167,46.1333,358,Null
57972,CHENZHOU,25.7353,112.9739,368.8,Null
38989,TAGTABAZAR,35.9,62.9667,375,Null
